Text,Text-MM,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_MM_Cleaned
 Enjoying a cup of tea and watching the sunset.     ,လက်ဖက်ရည်တစ်ခွက်သောက်ရင်း နေဝင်ချိန်ကို ကြည့်ရှုခံစားနေပါတယ်။,Positive,2023-01-25 18:00:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18.0,positive
 Coding a new project with enthusiasm.              ,စိတ်အားထက်သန်စွာနဲ့ ပရောဂျက်အသစ်တစ်ခုကို coding ရေးနေပါတယ်။,Positive,2023-01-25 13:15:00, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13.0,positive
 Feeling inspired after attending a workshop.       ,Workshop တစ်ခု တက်ရောက်ပြီးနောက် စိတ်အားတက်ကြွမှု ခံစားရပါတယ်။,Positive,2023-01-26 09:45:00, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9.0,positive
 Winter sports day at the local park.               ,ဒေသခံပန်းခြံမှာ ဆောင်းရာသီ အားကစားနေ့။,Positive,2023-01-26 14:20:00, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14.0,negative
 Quality time with family this weekend.             ,ဒီစနေ၊ တနင်္ဂနွေ မိသားစုနဲ့အတူ အရည်အသွေးရှိတဲ့အချိန် ဖြတ်သန်းခြင်း။,Positive,2023-01-26 17:40:00, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22.0,45.0, UK        ,2023,1,26,17.0,positive
 Attending a live music concert tonight.            ,ဒီည တိုက်ရိုက်ဂီတဖျော်ဖြေပွဲတစ်ခု တက်ရောက်မှာပါ။,Positive,2023-01-27 20:00:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0, USA ,2023,1,27,20.0,negative
 Practicing mindfulness with meditation.            ,တရားထိုင်ခြင်းနဲ့အတူ သတိပဋ္ဌာန် ကျင့်ကြံနေပါတယ်။,Positive,2023-01-27 12:30:00, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15.0,30.0, India    ,2023,1,27,12.0,positive
 Trying out a new dessert recipe.                   ,အချိုပွဲချက်နည်းအသစ်တစ်ခု စမ်းသပ်လုပ်ကိုင်နေပါတယ်။,Positive,2023-01-27 16:10:00, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0, Canada ,2023,1,27,16.0,positive
 Excited about the upcoming gaming tournament.      ,လာမယ့် ဂိမ်းပြိုင်ပွဲအတွက် စိတ်လှုပ်ရှားနေပါတယ်။,Positive,2023-01-28 09:00:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9.0,positive
 Planning a garden makeover for spring.             ,နွေဦးရာသီအတွက် ဥယျာဉ်ကို ပြုပြင်မွမ်းမံဖို့ စီစဉ်နေပါတယ်။,Positive,2023-01-28 14:45:00, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0, USA      ,2023,1,28,14.0,positive
 Celebrating a friend's birthday tonight! 🎂       ,ဒီည သူငယ်ချင်းတစ်ယောက်ရဲ့ မွေးနေ့ကို ဂုဏ်ပြုကျင်းပနေပါတယ်! 🎂,Positive,2023-01-28 19:30:00, BirthdayBash , Facebook , #Birthday #Celebration                  ,15.0,30.0, UK ,2023,1,28,19.0,positive
 Feeling accomplished after a productive day.       ,အကျိုးရှိတဲ့နေ့တစ်နေ့ပြီးနောက် အောင်မြင်မှုခံစားရပါတယ်။,Positive,2023-01-29 17:00:00, ProductivityWin, Instagram , #Accomplished #Success               ,22.0,45.0, India ,2023,1,29,17.0,positive
 A cozy evening with a good movie.                 ,ရုပ်ရှင်ကောင်းတစ်ကားနဲ့ နွေးထွေးတဲ့ ညနေခင်း။,Positive,2023-01-29 20:20:00, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0, Canada   ,2023,1,29,20.0,positive
 Exploring local art galleries this weekend.        ,ဒီစနေ၊ တနင်္ဂနွေ ဒေသခံအနုပညာပြခန်းတွေကို စူးစမ်းရှာဖွေနေပါတယ်။,Positive,2023-01-30 11:30:00, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11.0,positive
 New book release from my favorite author!          ,ကျွန်တော့်အကြိုက်ဆုံး စာရေးဆရာဆီက စာအုပ်အသစ်ထွက်ရှိခြင်း!,Positive,2023-01-30 15:45:00, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15.0,positive
 Attending a virtual reality meetup.                ,Virtual reality တွေ့ဆုံပွဲတစ်ခု တက်ရောက်နေပါတယ်။,Positive,2023-01-30 18:30:00, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18.0,negative
 Reflecting on the beauty of nature.                ,သဘာဝတရားရဲ့ အလှတရားကို ပြန်လည်သုံးသပ်နေပါတယ်။,Positive,2023-01-31 10:45:00, NatureLover  , Facebook , #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10.0,positive
 Cooking a special dinner for loved ones.           ,ချစ်ခင်ရသူတွေအတွက် အထူးညစာတစ်နပ် ချက်ပြုတ်နေပါတယ်။,Positive,2023-01-31 19:00:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19.0,positive
 Feeling optimistic about the week ahead.           ,လာမယ့်အပတ်အတွက် အကောင်းမြင်စိတ် ခံစားရပါတယ်။,Positive,2023-01-31 16:20:00, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16.0,positive
 Starting a new fitness challenge tomorrow! 💪     ,မနက်ဖြန် ကျန်းမာရေးစိန်ခေါ်မှုအသစ်တစ်ခု စတင်တော့မယ်! 💪,Positive,2023-02-01 08:00:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8.0,positive
 Sunday bike ride through scenic trails.           ,ရှုခင်းသာယာတဲ့လမ်းတွေတစ်လျှောက် တနင်္ဂနွေနေ့ စက်ဘီးစီးခြင်း။,Positive,2023-02-01 13:30:00, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13.0,positive
 Can't believe the injustice happening in our society.,ကျွန်တော်တို့ လူ့အဖွဲ့အစည်းမှာ ဖြစ်ပျက်နေတဲ့ မတရားမှုတွေကို မယုံနိုင်ဘူး။,Negative,2023-02-11 09:30:00, SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9.0,negative
 Feeling a sense of fear after watching a thriller movie. ,သည်းထိတ်ရင်ဖိုရုပ်ရှင်တစ်ကား ကြည့်ပြီးနောက် ကြောက်ရွံ့မှု ခံစားရပါတယ်။,Negative,2023-02-11 21:15:00, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21.0,neutral
 Heartbroken after hearing the news about a natural disaster. ,သဘာဝဘေးအန္တရာယ် သတင်းကြားပြီးနောက် ရင်ကွဲပက်လက်ဖြစ်ရပါတယ်။,Negative,2023-02-12 14:45:00, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14.0,neutral
 The state of the world's environment is just disgusting. ,ကမ္ဘာ့ပတ်ဝန်းကျင် အခြေအနေက တကယ်ကို စက်ဆုပ်စရာကောင်းတယ်။,Negative,2023-02-12 18:20:00, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18.0,positive
 Pure happiness: celebrating a loved one's achievement! ,စစ်မှန်တဲ့ ပျော်ရွှင်မှု - ချစ်ခင်ရသူတစ်ယောက်ရဲ့ အောင်မြင်မှုကို ဂုဏ်ပြုခြင်း!,Positive,2023-02-13 10:00:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10.0,positive
 Laughter is the best medicine—enjoying a comedy show. ,ရယ်မောခြင်းက အကောင်းဆုံးဆေးပါပဲ—ဟာသပြပွဲတစ်ခုကို ကြည့်ရှုခံစားနေပါတယ်။,Positive,2023-02-13 19:30:00, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19.0,positive
 Sharing love and positive vibes with everyone! ❤️      ,လူတိုင်းနဲ့အတူ အချစ်နဲ့ အကောင်းမြင်စိတ်ဓာတ်တွေကို မျှဝေနေပါတယ်! ❤️,Positive,2023-02-14 08:30:00, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8.0,positive
 An amusing incident brightened up my day!               ,ရယ်စရာကောင်းတဲ့ အဖြစ်အပျက်တစ်ခုက ကျွန်တော့်ရဲ့နေ့ကို ပျော်ရွှင်စေခဲ့တယ်။,Positive,2023-02-14 14:20:00, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14.0,positive
 Enjoying a quiet evening with a book and some tea.      ,စာအုပ်တစ်အုပ်နဲ့ လက်ဖက်ရည်သောက်ရင်း တိတ်ဆိတ်ငြိမ်သက်တဲ့ ညနေခင်းကို ခံစားနေပါတယ်။,Positive,2023-02-14 19:45:00, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19.0,positive
 Admiring the beauty of nature during a peaceful hike.   ,ငြိမ်းချမ်းတဲ့ တောင်တက်ခရီးတစ်ခုအတွင်း သဘာဝတရားရဲ့ အလှကို တန်ဖိုးထားလေးစားနေပါတယ်။,Positive,2023-02-15 11:30:00, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11.0,negative
 Sending affectionate vibes to all my followers!          ,ကျွန်တော့် follower အားလုံးဆီသို့ ချစ်ခင်ကြင်နာတဲ့ ခံစားချက်တွေ ပို့သလိုက်ပါတယ်။,Positive,2023-02-15 16:00:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16.0,positive
 Experiencing awe at the breathtaking sunset.            ,ရင်သပ်ရှုမောဖွယ် နေဝင်ချိန်ကို အံ့သြတကြီး ခံစားနေရပါတယ်။,Positive,2023-02-15 20:30:00, AweStruck       , Facebook , #Awe #Breathtaking                          ,22.0,45.0, Australia   ,2023,2,15,20.0,positive
 Disappointed with the service at a local restaurant.    ,ဒေသခံ စားသောက်ဆိုင်တစ်ခုက ဝန်ဆောင်မှုကို စိတ်ပျက်မိပါတယ်။,Negative,2023-02-16 09:00:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9.0,neutral
 A surprise gift from a friend made my day!              ,သူငယ်ချင်းတစ်ယောက်ဆီက အံ့အားသင့်ဖွယ် လက်ဆောင်တစ်ခုက ကျွန်တော့်ရဲ့နေ့ကို ပျော်ရွှင်စေခဲ့တယ်။,Positive,2023-02-16 14:45:00, HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0, USA          ,2023,2,16,14.0,positive
 Finding acceptance in the midst of life's challenges.   ,ဘဝရဲ့ စိန်ခေါ်မှုတွေကြားထဲမှာ လက်ခံမှုကို ရှာဖွေတွေ့ရှိခြင်း။,Positive,2023-02-16 18:20:00, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18.0,positive
 Overflowing with adoration for my adorable pet! 🐾      ,ကျွန်တော့်ရဲ့ ချစ်စရာကောင်းတဲ့ အိမ်မွေးတိရစ္ဆာန်လေးအတွက် အလွန်အမင်း ချစ်ခင်မြတ်နိုးမှုတွေ ပြည့်လျှံနေပါတယ်! 🐾,Positive,2023-02-17 10:45:00, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10.0,positive
 Anticipating a thrilling adventure in the coming weeks. ,လာမယ့်ရက်သတ္တပတ်တွေအတွင်း စိတ်လှုပ်ရှားစရာကောင်းတဲ့ စွန့်စားခန်းတစ်ခုကို မျှော်လင့်နေပါတယ်။,Positive,2023-02-17 07:30:00, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7.0,positive
 A bitter experience turned into a valuable lesson.      ,ခါးသီးတဲ့ အတွေ့အကြုံတစ်ခုက တန်ဖိုးရှိတဲ့ သင်ခန်းစာတစ်ခု ဖြစ်သွားခဲ့တယ်။,Negative,2023-02-17 15:00:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15.0,positive
 Finding calmness in the midst of a busy day.            ,အလုပ်များတဲ့နေ့တစ်နေ့ရဲ့ အလယ်မှာ တည်ငြိမ်မှုကို ရှာဖွေတွေ့ရှိခြင်း။,Positive,2023-02-18 09:30:00, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15.0,30.0, India     ,2023,2,18,9.0,positive
 Confusion clouds my mind as I navigate through decisions.,ဆုံးဖြတ်ချက်တွေ ချမှတ်ရာမှာ ရှုပ်ထွေးမှုတွေက ကျွန်တော့်စိတ်ကို လွှမ်းခြုံနေတယ်။,Negative,2023-02-18 14:20:00, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25.0,50.0, UK   ,2023,2,18,14.0,neutral
 Excitement building up for the upcoming vacation!       ,လာမယ့် အားလပ်ရက်အတွက် စိတ်လှုပ်ရှားမှုတွေ တိုးပွားလာနေပါတယ်။,Positive,2023-02-18 18:45:00, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18.0,positive
 Kindness witnessed today restored my faith in humanity. ,ဒီနေ့ တွေ့မြင်ခဲ့ရတဲ့ ကြင်နာမှုက လူသားမျိုးနွယ်အပေါ် ကျွန်တော့်ရဲ့ ယုံကြည်မှုကို ပြန်လည်တည်ဆောက်ပေးခဲ့တယ်။,Positive,2023-02-19 11:30:00, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20.0,40.0, USA       ,2023,2,19,11.0,positive
 Pride in achieving a personal milestone.               ,ကိုယ်ပိုင်မှတ်တိုင်တစ်ခုကို အောင်မြင်မှုအတွက် ဂုဏ်ယူခြင်း။,Positive,2023-02-19 16:00:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30.0,60.0, Australia    ,2023,2,19,16.0,positive
 A moment of shame for not standing up against injustice. ,မတရားမှုကို ဆန့်ကျင်မရပ်တည်ခဲ့မိတဲ့အတွက် ရှက်ရွံ့မိတဲ့အခိုက်အတန့်။,Negative,2023-02-19 19:45:00, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15.0,30.0, India      ,2023,2,19,19.0,neutral
 Fuming with anger after a heated argument.            ,ပြင်းထန်တဲ့ ငြင်းခုံမှုတစ်ခုပြီးနောက် ဒေါသတွေ ပေါက်ကွဲနေပါတယ်။,Negative,2023-02-20 09:30:00, AngryDebater    , Twitter  , #Anger #Argument                             ,20.0,40.0, Canada     ,2023,2,20,9.0,neutral
 The fear of the unknown is keeping me up at night.    ,မသိသေးတဲ့အရာတွေအပေါ် ကြောက်ရွံ့မှုက ကျွန်တော့်ကို ညဘက် အိပ်မပျော်စေဘူး။,Negative,2023-02-20 21:15:00, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15.0,30.0, USA          ,2023,2,20,21.0,neutral
 Heartfelt sadness after bidding farewell to a dear friend. ,ချစ်ခင်ရတဲ့ သူငယ်ချင်းတစ်ယောက်ကို နှုတ်ဆက်ခွဲခွာပြီးနောက် ရင်ထဲက ဝမ်းနည်းမှု။,Negative,2023-02-21 14:45:00, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25.0,50.0, India      ,2023,2,21,14.0,neutral
 The state of corruption in our society is utterly disgusting. ,ကျွန်တော်တို့ လူ့အဖွဲ့အစည်းထဲက အကျင့်ပျက်ခြစားမှု အခြေအနေက လုံးဝကို စက်ဆုပ်စရာကောင်းတယ်။,Negative,2023-02-21 18:20:00, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18.0,35.0, UK         ,2023,2,21,18.0,neutral
 Overflowing happiness: welcoming a new family member!  ,ပျော်ရွှင်မှုတွေ ပြည့်လျှံနေခြင်း - မိသားစုဝင်အသစ်တစ်ယောက်ကို ကြိုဆိုခြင်း!,Positive,2023-02-22 10:00:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30.0,60.0, UK           ,2023,2,22,10.0,positive
 Laughter is the key to joy—attending a stand-up comedy show. ,ရယ်မောခြင်းက ပျော်ရွှင်မှုရဲ့ သော့ချက်ပါပဲ—Stand-up comedy ပွဲတစ်ခု တက်ရောက်နေပါတယ်။,Positive,2023-02-22 19:30:00, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22.0,45.0, Canada    ,2023,2,22,19.0,negative
 Sending love to all my followers on this beautiful day! ❤️ ,ဒီလှပတဲ့နေ့လေးမှာ ကျွန်တော့် follower အားလုံးဆီသို့ အချစ်တွေ ပို့သလိုက်ပါတယ်! ❤️,Positive,2023-02-23 08:30:00, LoveSender      , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,23,8.0,positive
 Amused by the antics of my pet—it's pure amusement!      ,ကျွန်တော့် အိမ်မွေးတိရစ္ဆာန်လေးရဲ့ ချစ်စဖွယ် အပြုအမူလေးတွေကြောင့် ပျော်ရွှင်မိခြင်း—ဒါက စစ်မှန်တဲ့ ပျော်ရွှင်မှုပါပဲ!,Positive,2023-02-23 14:20:00, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18.0,35.0, UK           ,2023,2,23,14.0,positive
 Enjoying every moment of this trip—pure enjoyment!      ,ဒီခရီးစဉ်ရဲ့ အခိုက်အတန့်တိုင်းကို ခံစားနေခြင်း—စစ်မှန်တဲ့ ပျော်ရွှင်မှု!,Positive,2023-02-23 19:45:00, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25.0,50.0, USA ,2023,2,23,19.0,positive
